"Location","String Value","String Representation","Data Type"
"01374cf4","eSID_TexBumpTangent","\"eSID_TexBumpTangent\"","ds"
"01377fc8","eSID_Unknown","\"eSID_Unknown\"","ds"
"01370eac","eSID_UnskinnedNormal","\"eSID_UnskinnedNormal\"","ds"
"0137403c","eSID_UntransformedNormal","\"eSID_UntransformedNormal\"","ds"
"01372d80","eSID_UsePrecalcLighting","\"eSID_UsePrecalcLighting\"","ds"
"013700f4","eSID_UsesUVsAsScreenCoords","\"eSID_UsesUVsAsScreenCoords\"","ds"
"013763c8","eSID_UV2RGB","\"eSID_UV2RGB\"","ds"
"0137712c","eSID_UV_ADD","\"eSID_UV_ADD\"","ds"
"013766dc","eSID_UV_Blender","\"eSID_UV_Blender\"","ds"
"013769a8","eSID_UV_Combiner4D","\"eSID_UV_Combiner4D\"","ds"
"01375434","eSID_UV_ConstantMUL","\"eSID_UV_ConstantMUL\"","ds"
"013726ec","eSID_UV_DUDV","\"eSID_UV_DUDV\"","ds"
"013772d4","eSID_UV_MUL","\"eSID_UV_MUL\"","ds"
"01377224","eSID_UV_MUL2X","\"eSID_UV_MUL2X\"","ds"
"013727ec","eSID_UV_SUB","\"eSID_UV_SUB\"","ds"
"01377ac0","eSID_UVChannel","\"eSID_UVChannel\"","ds"
"01377a94","eSID_UVChannel0","\"eSID_UVChannel0\"","ds"
"01377a64","eSID_UVChannel1","\"eSID_UVChannel1\"","ds"
"01377a34","eSID_UVChannel2","\"eSID_UVChannel2\"","ds"
"01377a04","eSID_UVChannel3","\"eSID_UVChannel3\"","ds"
"0137565c","eSID_UVLODBlender","\"eSID_UVLODBlender\"","ds"
"013710d0","eSID_UVMod","\"eSID_UVMod\"","ds"
"01375de4","eSID_UVRotate","\"eSID_UVRotate\"","ds"
"01375e7c","eSID_UVScroll","\"eSID_UVScroll\"","ds"
"01371040","eSID_UVScrollSpeedFactor","\"eSID_UVScrollSpeedFactor\"","ds"
"01377c88","eSID_UVSource","\"eSID_UVSource\"","ds"
"01370840","eSID_Vertex3DUVWrap","\"eSID_Vertex3DUVWrap\"","ds"
"01373f28","eSID_Vertex_UV_ADD","\"eSID_Vertex_UV_ADD\"","ds"
"0137152c","eSID_Vertex_UV_Blender","\"eSID_Vertex_UV_Blender\"","ds"
"01373ff4","eSID_Vertex_UV_ConstantMUL","\"eSID_Vertex_UV_ConstantMUL\"","ds"
"01373fa8","eSID_Vertex_UV_MUL","\"eSID_Vertex_UV_MUL\"","ds"
"01373f68","eSID_Vertex_UV_MUL2X","\"eSID_Vertex_UV_MUL2X\"","ds"
"013723d4","eSID_VERTEX_UV_SUB","\"eSID_VERTEX_UV_SUB\"","ds"
"01370b70","eSID_VertexADD","\"eSID_VertexADD\"","ds"
"0137043c","eSID_VertexAmbientCube","\"eSID_VertexAmbientCube\"","ds"
"01370bf4","eSID_VertexBlender","\"eSID_VertexBlender\"","ds"
"013715e8","eSID_VertexClamp","\"eSID_VertexClamp\"","ds"
"0137487c","eSID_VertexColor","\"eSID_VertexColor\"","ds"
"0137499c","eSID_VertexColor_Misc1","\"eSID_VertexColor_Misc1\"","ds"
"01374954","eSID_VertexColor_Misc2","\"eSID_VertexColor_Misc2\"","ds"
"01373e28","eSID_VertexColorToPixel","\"eSID_VertexColorToPixel\"","ds"
